"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","210","Intro Financial Accounting","2656","Accounting","19","11","5","3","0","0","0","0","1","0","0","0","0","0","0","1","Lee, Jaehoon","40"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","65","65","29","11","0","0","0","0","1","0","0","0","0","0","0","7","Bonham, Jonathan","178"
"ACTG","211","Intro Mngrl Actg Bus Scholar","2656","Accounting","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Patel, Neel Vasudev","44"
"AH","510","WHAT WAS ART?","2910","Art History","18","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Stimson, Blake","20"
"AHS","325","Rehab Case Management","2797","Applied Health Sciences Admin","9","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Schwartz, Orit","18"
"AHS","375","Ethics, Law in Health","2797","Applied Health Sciences Admin","67","15","6","2","5","0","0","0","0","0","0","0","0","0","0","6","Jackson, Ann W","101"
"AHS","402","Inter-professional Seminar","2797","Applied Health Sciences Admin","9","8","7","1","1","0","0","0","0","0","0","0","0","0","0","0","Wescott, Jennifer J","26"
"ANTH","100","Human Adventure","2841","Anthropology","52","61","33","6","16","0","0","0","0","0","0","0","0","0","0","12","Bauer, Brian S","180"
"ANTH","102","Intro to Archaeology","2841","Anthropology","181","54","7","5","4","0","0","0","0","0","0","0","0","0","0","9","LaMotta, Vincent","260"
"ANTH","217","Digital & Mobile Ethnographies","2841","Anthropology","6","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Alvarez Velasco, Soledad","11"
"ANTH","239","Forensic Anthropology","2841","Anthropology","8","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Sacks, Lita","15"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","18","2","1","0","2","0","0","0","0","0","0","0","0","0","0","1","Aburqayeq, Ghassan","24"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","15","6","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Babiker, Mariam","24"
"ARCH","151","Architecture at Chicago","2911","School of Architecture","48","38","11","7","7","0","0","0","0","0","0","0","0","0","0","2","Becker, Robert D","113"
"ARCH","414","Contemporary Practices","2911","School of Architecture","5","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Ahmed, Zehra Syed","13"
"ARCH","414","Contemporary Practices","2911","School of Architecture","8","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Haouzi, Chana","14"
"ARCH","465","Advanced Topic Studio 1","2911","School of Architecture","3","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","De Jong, Judith","12"
"ARCH","531","Arch Theory & History I","2911","School of Architecture","6","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Somol, Robert E","19"
"ARCH","585","Arch Theory & History III","2911","School of Architecture","4","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Hicks, Stewart Roger","22"
"ART","101","Signifying Practices","2583","Art","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Reeder, Jennifer K","17"
"ART","140","Introduction to Sculpture","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Le, Minh Hien","20"
"ART","151","Intro to Creative Coding","2583","Art","17","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Johnson, Garrett Laroy","20"
"ART","170","Introduction to Filmmaking","2583","Art","14","0","3","0","1","0","0","0","0","0","0","0","0","0","0","2","Carson, Teresita","20"
"ART","170","Introduction to Filmmaking","2583","Art","14","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Jorge Baralt, Edgar Daniel","20"
"ART","212","Topics in Drawing I","2583","Art","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Banos Arjona, Juan Antonio","21"
"ART","274","Topics in Motion Graphics I","2583","Art","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lopez, Michael","21"
"ART","401","Senior Projects: Critique","2583","Art","24","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Metzger, Matthew John","31"
"ACTG","435","Auditing","2656","Accounting","43","55","23","2","5","0","0","0","0","0","0","0","0","0","0","5","Judd, Joshua Scott","133"
"ACTG","537","Fraud Examination","2656","Accounting","3","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Magina, Nicholas","11"
"AH","100","Intro to Art &Art History","2910","Art History","4","17","8","3","5","0","0","0","0","0","0","0","0","0","0","2","Vujkov, Aleksandar","39"
"AH","201","Reading&Writing Art Criticism","2910","Art History","18","6","3","0","6","0","0","0","0","0","0","0","0","0","0","7","Smart, Alan Adams","40"
"AHS","330","Phys and Mental Hlth in Rehab","2797","Applied Health Sciences Admin","13","7","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Schwartz, Orit","25"
"ANTH","101","World Cultures","2841","Anthropology","52","48","23","12","14","0","0","0","0","0","0","0","0","0","0","10","Mouftah, Nermeen","159"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","4","10","5","2","1","0","0","0","0","0","0","0","0","0","0","2","Alyassir, Lina","24"
"ARCH","470","Structures I: Statics","2911","School of Architecture","24","23","6","2","2","0","0","0","0","0","0","0","0","0","0","2","Magruder, Robert","59"
"ARCH","563","Architectural Technology III","2911","School of Architecture","2","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lally, Sean","19"
"ART","130","Intro to Painting + Color","2583","Art","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Dequilla, Ashley","20"
"ART","261","Film Photography/Darkroom","2583","Art","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Keihm, Colleen","14"
"ART","290","Intro to Performance Art","2583","Art","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","McCann, Austin","10"
"ART","350"," 3D SPACE 1: MODELING","2583","Art","3","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","Foss, Caleb James","13"
"ART","460","Adv Photo:ALTERNATIVE PROCESSE","2583","Art","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Geissler, Beate","13"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","13","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Walthall, Mary","18"
"BA","420","Professional Presence","2785","Business Administration Admini","52","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Souri, Ranjit J","54"
"BA","494","Resp Mgmt for BBA Online","2785","Business Administration Admini","30","6","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Atchley, Cindy J","41"
"BHIS","593","HI Capstone","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","Mills, Laura Lynn","13"
"BHIS","593","HI Capstone","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","Swirsky, Eric S","12"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","9","37","19","4","8","0","0","0","0","0","0","0","0","0","0","5","Nelson, Karin Noel","82"
"BLST","103","U.S. Black Politics & Culture","2363","Black Studies","10","14","2","0","0","0","0","0","1","0","0","0","0","0","0","3","Johnson, Cedric","30"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","27","12","8","0","0","0","0","0","0","0","0","0","0","0","0","3","Avanaki, Kamran","50"
"BME","594","Math Fdns of Adv Mach Learning","2437","Biomedical Eng - Engineering","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Liao, Wei-Hsun","11"
"BPS","494","Spec Topics Biopharm Sci","2440","Pharmaceutical Sciences","1","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","Bartels, Bradley David","51"
"BSTT","537","Longitudinal Data Analysis","2891","Epidemiology and Biostatistics","11","6","1","0","0","0","0","0","1","0","0","0","0","0","0","2","Liu, Li C","21"
