"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","100","Intro to Art &Art History","2910","Art History","11","12","10","3","2","0","0","0","0","0","0","0","0","0","0","1","Putnam, Jaclyn Marie","39"
"AH","100","Intro to Art &Art History","2910","Art History","4","17","8","3","5","0","0","0","0","0","0","0","0","0","0","2","Vujkov, Aleksandar","39"
"AH","110","World Hist Art & Built Env I","2910","Art History","129","105","54","8","23","0","0","0","4","0","0","0","0","0","0","17","Harmansah, Omur","340"
"AH","125","Asian Art and Architecture","2910","Art History","10","12","4","1","1","0","0","0","0","0","0","0","0","0","0","1","Schuster, Maggie","29"
"AH","160","Trends in Contemp Art","2910","Art History","24","10","2","0","1","0","0","0","2","0","0","0","0","0","0","0","Adibfar, Leili","39"
"AH","180","Intro to Museum & Exhibition","2910","Art History","14","11","5","2","0","0","0","0","0","0","0","0","0","0","0","2","Espinoza-Leon, Mariela","34"
"AH","201","Reading&Writing Art Criticism","2910","Art History","18","6","3","0","6","0","0","0","0","0","0","0","0","0","0","7","Smart, Alan Adams","40"
"AH","250","Italian Renaissance Art","2910","Art History","5","2","4","6","1","0","0","0","0","0","0","0","0","0","0","4","Pollak, Martha","22"
"AH","259","Eighteenth-Century Art","2910","Art History","5","12","7","0","8","0","0","0","3","0","0","0","0","0","0","5","Dubin, Nina","40"
"AH","263","Latin Amer Colonial Art","2910","Art History","20","8","0","0","1","0","0","0","1","0","0","0","0","0","0","2","Ortega, Emmanuel","32"
"AH","273","Visual Culture Ancient Andes","2910","Art History","5","8","3","4","3","0","0","0","0","0","0","0","0","0","0","1","Finegold, Andrew","24"
"AH","510","WHAT WAS ART?","2910","Art History","18","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Stimson, Blake","20"
"ARCH","105","Architectural Studio 1","2911","School of Architecture","10","55","24","6","14","0","0","0","0","0","0","0","0","0","0","4","Preissner, Paul","113"
"ARCH","151","Architecture at Chicago","2911","School of Architecture","48","38","11","7","7","0","0","0","0","0","0","0","0","0","0","2","Becker, Robert D","113"
"ARCH","200","Architecture and Society","2911","School of Architecture","9","16","18","4","1","0","0","0","0","0","0","0","0","0","0","8","Brown, David P","56"
"ARCH","205","Architectural Studio 3","2911","School of Architecture","16","31","21","2","0","0","0","0","0","0","0","0","0","0","0","0","Wheeler, Daniel H","70"
"ARCH","251","Arch Analysis","2911","School of Architecture","37","32","8","3","3","0","0","0","1","0","0","0","0","0","0","1","Eisenschmidt, Alexander","85"
"ARCH","359","Architectural Technology 1","2911","School of Architecture","16","61","6","2","0","0","0","0","0","0","0","0","0","0","0","0","Torres, Antonio","85"
"ARCH","365","Architectural Studio 5","2911","School of Architecture","22","32","23","3","0","0","0","0","0","0","0","0","0","0","0","1","Marullo, Francesco","81"
"ARCH","371","Architectural Theory 1","2911","School of Architecture","11","56","23","5","0","0","0","0","0","0","0","0","0","0","0","2","De Jong, Judith","97"
"ARCH","414","Contemporary Practices","2911","School of Architecture","5","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Ahmed, Zehra Syed","13"
"ARCH","414","Contemporary Practices","2911","School of Architecture","4","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Andersen, Paul","14"
"ARCH","414","Contemporary Practices","2911","School of Architecture","9","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","Gerson, Pablo","17"
"ARCH","414","Contemporary Practices","2911","School of Architecture","8","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Haouzi, Chana","14"
"ARCH","414","Contemporary Practices","2911","School of Architecture","5","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Lyster, Clare","14"
"ARCH","440","Digital Design and Fabrication","2911","School of Architecture","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","Preissner, Paul","16"
