"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","41","27","11","2","4","0","0","0","0","0","0","0","0","0","0","5","Felder, Anthony E","90"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","5","0","0","0","0","53","0","1","Shokuhfar, Tolou","59"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","10","16","3","0","1","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","30"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","27","12","8","0","0","0","0","0","0","0","0","0","0","0","0","3","Avanaki, Kamran","50"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","29","13","2","1","0","0","0","0","0","0","0","0","0","0","0","1","Hetling, John R","46"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","6","16","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Royston, Thomas J.","27"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","20","14","2","1","0","0","0","0","0","0","0","0","0","0","0","0","Peng, Zhangli","37"
"BME","332","Bioinstrumentation I","2437","Biomedical Eng - Engineering","12","19","6","3","1","0","0","0","1","0","0","0","0","0","0","1","Papautsky, Ian","43"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","26","9","3","0","3","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","42"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","10","9","9","7","3","0","0","0","1","0","0","0","0","0","0","1","Wang, Zhinan","40"
"BME","394","Phys Prototyping for Design","2437","Biomedical Eng - Engineering","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","10"
"BME","396","Senior Design I","2437","Biomedical Eng - Engineering","32","28","3","0","0","0","0","0","1","0","0","0","0","0","0","0","Felder, Anthony E","64"
"BME","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","15","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Browne, Michael Gordon","27"
