"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","204","Greek Art & Archaeology","2349","Classics & Mediterran Studies","7","2","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Ros, Karen E","14"
"AH","232","Film History I: 1890-WWII","2492","English","9","10","2","3","1","0","0","0","0","0","0","0","0","0","0","0","Rubin, Martin L.","25"
"AH","531","Haunted S & SE Asia","2727","Urban Planning and Policy","16","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Becker, Catherine","19"
"ANTH","100","Human Adventure","2841","Anthropology","52","61","33","6","16","0","0","0","0","0","0","0","0","0","0","12","Bauer, Brian S","180"
"ANTH","100","Human Adventure","2841","Anthropology","7","15","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Roosevelt, Anna C","24"
"ANTH","101","World Cultures","2841","Anthropology","52","48","23","12","14","0","0","0","0","0","0","0","0","0","0","10","Mouftah, Nermeen","159"
"ANTH","102","Intro to Archaeology","2841","Anthropology","181","54","7","5","4","0","0","0","0","0","0","0","0","0","0","9","LaMotta, Vincent","260"
"ANTH","105","Human Evolution","2841","Anthropology","96","87","24","6","1","0","0","0","0","0","0","0","0","0","0","6","Sacks, Lita","220"
"ANTH","105","Human Evolution","2841","Anthropology","81","29","14","6","6","0","0","0","0","0","0","0","0","0","0","4","Whyms, Pamela S","140"
"ANTH","215","Anthropology of Religion","2841","Anthropology","6","6","1","1","2","0","0","0","0","0","0","0","0","0","0","0","Mouftah, Nermeen","16"
"ANTH","216","Medicine, Culture, & Society","2841","Anthropology","64","26","13","7","5","0","0","0","1","0","0","0","0","0","0","2","Reddy, Gayatri","118"
"ANTH","217","Anthropology of Middle East","2841","Anthropology","12","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Rabie, Kareem Mohamed","14"
"ANTH","217","Digital & Mobile Ethnographies","2841","Anthropology","6","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","Alvarez Velasco, Soledad","11"
"ANTH","217","Intro to Museum Anthropology","2841","Anthropology","8","8","1","1","0","0","0","0","0","0","0","0","0","0","0","2","Johnson, Peri","20"
"ANTH","226","North American Archaeology","2841","Anthropology","13","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","LaMotta, Vincent","21"
"ANTH","229","Archaeo Frauds,Myths,Pseudosci","2841","Anthropology","9","8","3","3","2","0","0","0","0","0","0","0","0","0","0","0","Goodman, Elizabeth M","25"
"ANTH","237","Human Skeleton","2841","Anthropology","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Sloan R","10"
"ANTH","238","Biology of Women","2841","Anthropology","10","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Starkweather, Kathrine Elizabeth","14"
"ANTH","239","Forensic Anthropology","2841","Anthropology","8","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Sacks, Lita","15"
"ANTH","255","Middle East Feminisms","2369","Gender and Women's Studies","6","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","Naber, Nadine","10"
"ANTH","309","Writing Culture","2841","Anthropology","15","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Giampaoli, Michelangelo","21"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","18","2","1","0","2","0","0","0","0","0","0","0","0","0","0","1","Aburqayeq, Ghassan","24"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","11","10","12","1","6","0","0","0","0","0","0","0","0","0","0","2","Alyassir, Lina","42"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","15","6","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Babiker, Mariam","24"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","12","5","2","0","1","0","0","0","0","0","0","0","0","0","0","3","Aburqayeq, Ghassan","23"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","4","10","5","2","1","0","0","0","0","0","0","0","0","0","0","2","Alyassir, Lina","24"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","19","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Babiker, Mariam","24"
"ARAB","201","Adv Arabic through Literature","2349","Classics & Mediterran Studies","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Babiker, Mariam","17"
"ARAB","230","Arabic Literature in Tran","2349","Classics & Mediterran Studies","20","5","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Aburqayeq, Ghassan","28"
"BIOS","104","Biology for Non-majors","2453","Biological Sciences","35","35","32","5","4","0","0","0","0","0","0","0","0","0","0","9","Muller, Michael T","120"
"BIOS","110","Biol of Cells & Organisms","2453","Biological Sciences","109","148","62","22","26","0","0","0","0","0","0","0","0","0","0","12","Daemicke Hansen, Alexandra Kristin","379"
"BIOS","110","Biol of Cells & Organisms","2453","Biological Sciences","83","124","122","75","19","0","0","0","0","0","0","0","0","0","0","20","Muller, Michael T","443"
"BIOS","120","Populations & Communities","2453","Biological Sciences","316","67","33","3","12","0","0","0","0","0","0","0","0","0","0","14","Molumby, Alan J","445"
"BIOS","184","The Basics of Neuroscience","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Park, Thomas J","19"
"BIOS","196","Biology Colloquium","2453","Biological Sciences","53","5","1","0","0","0","0","0","0","0","0","0","0","0","0","3","Nelson, Karin Noel","62"
"BIOS","220","Genetics","2453","Biological Sciences","21","29","17","15","12","0","0","0","0","0","0","0","0","0","0","10","Morrison, Donald A","104"
"BIOS","220","Genetics","2453","Biological Sciences","82","41","50","16","26","0","0","0","1","0","0","0","0","0","0","24","Okkema, Peter G","240"
"BIOS","222","Cell Biology","2453","Biological Sciences","47","71","15","6","2","0","0","0","0","0","0","0","0","0","0","15","Alfonso, Aixa","156"
"BIOS","222","Cell Biology","2453","Biological Sciences","108","92","59","3","3","0","0","0","1","0","1","0","0","0","0","9","Warpeha, Katherine Mary","276"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","47","41","39","19","12","0","0","0","0","0","0","0","0","0","0","13","Ashley, Mary Virginia","171"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","9","37","19","4","8","0","0","0","0","0","0","0","0","0","0","5","Nelson, Karin Noel","82"
"BIOS","272","Comparative Vertebrate Anatomy","2453","Biological Sciences","4","18","17","8","5","0","0","0","0","0","0","0","0","0","0","11","Nelson, Karin Noel","63"
